Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL7029-Hiver2018-B,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GEL7030-Hiver2024-A,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7030-Hiver2023-B,0,N/A,Du 10 jan. 2023 au 21 avr. 2023,N/A,N/A,N/A,Lectures dirigées,N/A
GEL7040-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,11h30,12h20,Adrien-Pouliot 2569,Atelier,Hoang Le-Huy
GEL7040-Automne2024-A,0,Mercredi,Du 3 sept. 2024 au 13 déc. 2024,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,Hoang Le-Huy
GEL7040-Automne2023-C,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,11h30,12h20,Adrien-Pouliot 2569,Atelier,N/A
GEL7040-Automne2023-C,0,Mercredi,Du 5 sept. 2023 au 15 déc. 2023,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL7040-Automne2022-E,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,11h30,12h20,Adrien-Pouliot 2569,Atelier,N/A
GEL7040-Automne2022-E,0,Mercredi,Du 6 sept. 2022 au 16 déc. 2022,8h30,11h20,Adrien-Pouliot 0103,Laboratoire,N/A
GEL7041-Automne2024-A,0,Mercredi,Du 3 sept. 2024 au 13 déc. 2024,12h30,15h20,Adrien-Pouliot 2903,En classe,Wei Shi
GEL7041-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Laboratoire,Wei Shi
GEL7041-Automne2023-C,0,Mercredi,Du 5 sept. 2023 au 15 déc. 2023,12h30,15h20,Adrien-Pouliot 2903,En classe,N/A
GEL7041-Automne2023-C,0,N/A,Du 5 sept. 2023 au 15 déc. 2023,N/A,N/A,N/A,Laboratoire,N/A
GEL7041-Automne2022-E,0,Mercredi,Du 6 sept. 2022 au 16 déc. 2022,12h30,15h20,Adrien-Pouliot 2569,En classe,N/A
